hs6,product_label,years_present,avg_RSCA
281112,"Hydrogen cyanide ""hydrocyanic acid""",4,1.0
293961,"Ergometrine ""INN"" and its salts",12,1.0
610421,"Women's or girls' ensembles of wool or fine animal hair, knitted or crocheted (excluding ski ...",5,1.0
620112,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",3,1.0
380840,Disinfectants put up for retail sale or as preparations or articles,7,1.0
380810,Insecticides put up for retail sale or as preparations or articles,8,1.0
290375,Dichloropentafluoropropanes,12,1.0
100110,Durum wheat,8,1.0
300343,"Medicaments containing norephedrine or its salts, not containing hormones, steroids used as ...",5,1.0
441129,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...",4,1.0
880710,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",4,1.0
620113,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of man-made ...",3,1.0
442010,"Statuettes and other ornaments, of wood (excluding wood marquetry and inlaid wood)",3,1.0
842481,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting, ...",8,1.0
10633,"Live ostriches, and emus [Dromaius novaehollandiae]",11,1.0
490599,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps and topographical ...",3,1.0
851750,"Apparatus for carrier-current line systems or digital line systems, for line telephony or line ...",6,1.0
551413,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",3,1.0
292412,"Fluoroacetamide ""ISO"", monocrotophos ""ISO"" and phosphamidon ""ISO""",11,1.0
300440,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",8,1.0
262021,"Leaded gasoline sludges and leaded anti-knock compound sludges, obtained from storage tanks ...",9,1.0
293341,"Levorphanol ""INN"" and its salts",12,1.0
30371,"Frozen sardines Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."" and brisling ...",10,1.0
610110,"Overcoats, car-coats, capes, cloaks, anoraks, incl. ski-jackets, wind-cheaters, wind-jackets ...",4,1.0
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",3,1.0
100840,"Fonio ""Digitaria spp.""",5,1.0
442199,"Articles of wood, n.e.s.",3,1.0
292112,"2-""N,N-Dimethylamino""ethylchloride hydrochloride",9,1.0
284530,Lithium enriched in lithium-6 and its compounds,3,1.0
610412,"Women's or girls' suits of cotton, knitted or crocheted (excluding ski overalls and swimwear)",6,1.0
281216,Sulphur dichloride,8,1.0
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",3,1.0
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",3,1.0
281214,Phosphorus pentachloride,8,1.0
710820,Monetary gold,12,1.0
530529,"Abaca ""Manila hemp or Musa textilis Nee"", processed but not spun; tow, noils and waste of these ...",4,1.0
292218,"2-""N,N-Diisopropylamino""ethanol",6,1.0
441232,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",8,1.0
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",12,1.0
600531,"Unbleached or bleached warp knit fabrics of synthetic fibres ""incl. those made on galloon knitting ...",5,1.0
292213,Triethanolamine and its salts,7,1.0
940381,"Furniture of bamboo or rattan (excluding seats and medical, surgical, dental or veterinary ...",8,1.0
382479,"Mixtures containing halogenated derivatives of methane, ethane or propane (excluding those ...",3,1.0
293520,N-Ethylperfluorooctane sulphonamide,7,1.0
30490,"Frozen fish meat, whether or not minced (excluding fillets)",6,1.0
852851,Monitors of a kind solely or principally used in an automatic data-processing machine of heading ...,8,1.0
441400,"Wooden frames for paintings, photographs, mirrors or similar objects",3,1.0
293060,"2-(N,N-Diethylamino)ethanethiol",8,1.0
481410,'Ingrain' paper,5,1.0
761519,"Table, kitchen or other household articles, parts thereof, of aluminium (excluding pot scourers ...",12,1.0
620111,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of wool ...",3,1.0
30629,"Crustaceans, even smoked, fit for human consumption, whether in shell or not, live, fresh, ...",8,1.0
940399,"Parts of furniture, not of wood, n.e.s. (excl. of seats or medical, surgical, dental or veterinary ...",3,1.0
701200,Glass inners for vacuum flasks or for other vacuum vessels,4,1.0
293945,"Levometamfetamine, metamfetamine ""INN"", metamfetamine racemate and their salts",3,1.0
851410,Resistance heated industrial or laboratory furnaces and ovens (excluding drying ovens),3,1.0
621141,"Women's or girls' tracksuits and other garments, n.e.s. of wool or fine animal hair (excluding ...",5,1.0
30419,"Fresh or chilled fillets and other fish meat whether or not minced"" (excluding swordfish and ...",11,1.0
300680,Waste pharmaceuticals,4,1.0
80520,"Fresh or dried mandarins incl. tangerines and satsumas, clementines, wilkings and similar citrus ...",8,1.0
852520,"Transmission apparatus incorporating reception apparatus, for radio-telephony, radio-telegraphy, ...",8,1.0
381230,Anti-oxidising preparations and other compound stabilisers for rubber or plastics,8,1.0
151000,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",3,1.0
441031,"Particle board and similar board, of wood, whether or not agglomerated with resins or other ...",3,1.0
